respondent_id,education_level,study_hours_per_day,preferred_learning_method,main_learning_challenge,motivation_level,online_learning_opinion,device_used_for_study
2038,Graduate,6,Video lectures,Low motivation,High,Online learning is flexible and convenient,Tablet
2039,Postgraduate,5,Recorded tutorials,Internet connectivity issues,High,Online platforms provide access to diverse resources,Tablet
2040,Graduate,2,Interactive discussion,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Tablet
2041,Graduate,2,Practice exercises,Low motivation,High,Online learning requires strong self-discipline,Mobile
2042,Graduate,6,Reading notes,Academic workload pressure,High,Blended learning is more effective than fully online,Laptop
2043,Postgraduate,5,Recorded tutorials,Low motivation,Low,Online platforms provide access to diverse resources,Tablet
2044,Graduate,4,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Tablet
2045,Undergraduate,6,Interactive discussion,Time management difficulty,High,Online learning is flexible and convenient,Tablet
2046,Graduate,5,Video lectures,Lack of concentration,Medium,Online learning requires strong self-discipline,Mobile
2047,Undergraduate,4,Recorded tutorials,Low motivation,Low,Online learning requires strong self-discipline,Mobile
2048,Undergraduate,6,Reading notes,Academic workload pressure,High,Online learning is flexible and convenient,Laptop
2049,Graduate,6,Reading notes,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Mobile
2050,Undergraduate,2,Video lectures,Low motivation,Low,Online learning is effective for theory-based subjects,Tablet
2051,Postgraduate,4,Reading notes,Time management difficulty,Low,Online learning is flexible and convenient,Laptop
2052,Postgraduate,4,Reading notes,Academic workload pressure,High,Online learning is flexible and convenient,Mobile
2053,Undergraduate,4,Practice exercises,Time management difficulty,Low,Online learning is effective for theory-based subjects,Laptop
2054,Postgraduate,3,Reading notes,Academic workload pressure,High,Online learning is effective for theory-based subjects,Mobile
2055,Undergraduate,1,Reading notes,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Laptop
2056,Undergraduate,3,Recorded tutorials,Low motivation,Medium,Online learning requires strong self-discipline,Tablet
2057,Graduate,3,Recorded tutorials,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Mobile
2058,Undergraduate,6,Reading notes,Time management difficulty,Low,Online learning is flexible and convenient,Laptop
2059,Postgraduate,4,Practice exercises,Low motivation,High,Online platforms provide access to diverse resources,Laptop
2060,Undergraduate,3,Interactive discussion,Time management difficulty,Medium,Online learning is flexible and convenient,Tablet
2061,Undergraduate,6,Reading notes,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Mobile
2062,Undergraduate,2,Interactive discussion,Low motivation,Low,Online platforms provide access to diverse resources,Laptop
2063,Postgraduate,6,Video lectures,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Mobile
2064,Postgraduate,1,Video lectures,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Laptop
2065,Undergraduate,5,Recorded tutorials,Time management difficulty,High,Online learning is effective for theory-based subjects,Mobile
2066,Undergraduate,2,Practice exercises,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop
2067,Postgraduate,6,Interactive discussion,Academic workload pressure,Medium,Online learning requires strong self-discipline,Mobile
2068,Graduate,2,Reading notes,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Laptop
2069,Undergraduate,4,Interactive discussion,Lack of concentration,Medium,Online platforms provide access to diverse resources,Mobile
2070,Graduate,1,Reading notes,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Mobile
2071,Postgraduate,2,Video lectures,Lack of concentration,Medium,Online learning is flexible and convenient,Tablet
2072,Graduate,6,Interactive discussion,Internet connectivity issues,Low,Online learning requires strong self-discipline,Tablet
2073,Graduate,1,Video lectures,Academic workload pressure,Low,Blended learning is more effective than fully online,Mobile
2074,Graduate,1,Practice exercises,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Laptop
2075,Undergraduate,5,Video lectures,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Mobile
2076,Graduate,2,Reading notes,Academic workload pressure,Low,Online learning requires strong self-discipline,Mobile
2077,Postgraduate,3,Video lectures,Low motivation,High,Blended learning is more effective than fully online,Tablet
2078,Postgraduate,6,Recorded tutorials,Lack of concentration,High,Online learning is flexible and convenient,Mobile
2079,Postgraduate,2,Reading notes,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Tablet
2080,Graduate,2,Reading notes,Lack of concentration,Low,Online learning requires strong self-discipline,Laptop
2081,Graduate,4,Reading notes,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Tablet
2082,Undergraduate,3,Video lectures,Academic workload pressure,Medium,Online learning requires strong self-discipline,Mobile
2083,Undergraduate,6,Recorded tutorials,Low motivation,High,Blended learning is more effective than fully online,Mobile
2084,Postgraduate,1,Interactive discussion,Time management difficulty,Medium,Blended learning is more effective than fully online,Mobile
2085,Postgraduate,4,Interactive discussion,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Mobile
2086,Undergraduate,2,Recorded tutorials,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Tablet
2087,Postgraduate,2,Recorded tutorials,Time management difficulty,Low,Blended learning is more effective than fully online,Mobile
2088,Undergraduate,3,Recorded tutorials,Lack of concentration,Medium,Online platforms provide access to diverse resources,Mobile
2089,Graduate,3,Recorded tutorials,Academic workload pressure,Medium,Online learning is flexible and convenient,Tablet
2090,Postgraduate,3,Practice exercises,Academic workload pressure,Low,Online platforms provide access to diverse resources,Mobile
2091,Undergraduate,5,Practice exercises,Time management difficulty,Low,Online learning is flexible and convenient,Mobile
2092,Undergraduate,3,Interactive discussion,Low motivation,High,Online learning is flexible and convenient,Mobile
2093,Postgraduate,2,Interactive discussion,Lack of concentration,Medium,Online platforms provide access to diverse resources,Mobile
2094,Postgraduate,5,Video lectures,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Mobile
2095,Postgraduate,6,Reading notes,Time management difficulty,High,Online learning is flexible and convenient,Tablet
2096,Undergraduate,4,Video lectures,Academic workload pressure,Medium,Blended learning is more effective than fully online,Mobile
2097,Graduate,5,Practice exercises,Lack of concentration,High,Online learning requires strong self-discipline,Mobile
2098,Graduate,3,Reading notes,Low motivation,Medium,Online learning is flexible and convenient,Tablet
2099,Undergraduate,6,Recorded tutorials,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Tablet
2100,Graduate,2,Practice exercises,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Tablet
2101,Undergraduate,1,Interactive discussion,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Laptop
2102,Graduate,6,Recorded tutorials,Low motivation,High,Blended learning is more effective than fully online,Mobile
2103,Postgraduate,4,Reading notes,Time management difficulty,Low,Online learning requires strong self-discipline,Laptop
2104,Graduate,1,Practice exercises,Low motivation,Low,Blended learning is more effective than fully online,Tablet
2105,Undergraduate,1,Video lectures,Internet connectivity issues,High,Online platforms provide access to diverse resources,Tablet
2106,Undergraduate,5,Reading notes,Time management difficulty,High,Online learning requires strong self-discipline,Laptop
2107,Graduate,6,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
2108,Graduate,1,Video lectures,Academic workload pressure,Medium,Blended learning is more effective than fully online,Laptop
2109,Graduate,4,Practice exercises,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Tablet
2110,Postgraduate,5,Interactive discussion,Lack of concentration,Low,Online learning is effective for theory-based subjects,Laptop
2111,Graduate,5,Practice exercises,Lack of concentration,High,Online learning is flexible and convenient,Tablet
2112,Undergraduate,6,Practice exercises,Internet connectivity issues,High,Online platforms provide access to diverse resources,Laptop
2113,Graduate,4,Practice exercises,Lack of concentration,High,Online learning requires strong self-discipline,Laptop
2114,Postgraduate,3,Interactive discussion,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Mobile
2115,Postgraduate,3,Reading notes,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Mobile
2116,Undergraduate,4,Interactive discussion,Low motivation,Low,Online learning requires strong self-discipline,Mobile
2117,Undergraduate,4,Recorded tutorials,Academic workload pressure,High,Online learning requires strong self-discipline,Laptop
2118,Graduate,6,Reading notes,Academic workload pressure,Medium,Online learning is flexible and convenient,Mobile
2119,Undergraduate,2,Video lectures,Internet connectivity issues,High,Online learning is flexible and convenient,Tablet
2120,Postgraduate,4,Interactive discussion,Academic workload pressure,Low,Blended learning is more effective than fully online,Tablet
2121,Postgraduate,6,Reading notes,Low motivation,Medium,Online learning is flexible and convenient,Laptop
2122,Undergraduate,3,Reading notes,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Mobile
2123,Postgraduate,2,Practice exercises,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Tablet
2124,Undergraduate,4,Reading notes,Low motivation,High,Online learning requires strong self-discipline,Mobile
2125,Graduate,3,Interactive discussion,Low motivation,High,Online platforms provide access to diverse resources,Laptop
2126,Postgraduate,2,Video lectures,Low motivation,Low,Online platforms provide access to diverse resources,Laptop
2127,Postgraduate,6,Recorded tutorials,Time management difficulty,Low,Blended learning is more effective than fully online,Tablet
2128,Undergraduate,4,Interactive discussion,Low motivation,Low,Online learning is effective for theory-based subjects,Tablet
2129,Graduate,6,Video lectures,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Mobile
2130,Undergraduate,1,Practice exercises,Time management difficulty,High,Blended learning is more effective than fully online,Mobile
2131,Undergraduate,5,Practice exercises,Academic workload pressure,Medium,Blended learning is more effective than fully online,Tablet
2132,Graduate,3,Reading notes,Low motivation,Low,Online learning is flexible and convenient,Mobile
2133,Graduate,2,Interactive discussion,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Mobile
2134,Graduate,6,Reading notes,Time management difficulty,Low,Online learning requires strong self-discipline,Tablet
2135,Undergraduate,5,Interactive discussion,Time management difficulty,Low,Online learning is flexible and convenient,Mobile
2136,Undergraduate,2,Video lectures,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Tablet
2137,Postgraduate,3,Practice exercises,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Tablet
2138,Graduate,4,Practice exercises,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Mobile
2139,Undergraduate,1,Practice exercises,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Laptop
2140,Undergraduate,4,Reading notes,Time management difficulty,Medium,Blended learning is more effective than fully online,Laptop
2141,Postgraduate,4,Recorded tutorials,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop
2142,Graduate,5,Video lectures,Academic workload pressure,High,Blended learning is more effective than fully online,Mobile
2143,Undergraduate,5,Video lectures,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Laptop
2144,Undergraduate,6,Interactive discussion,Difficulty understanding concepts,High,Online learning is flexible and convenient,Mobile
2145,Graduate,1,Reading notes,Time management difficulty,Low,Online platforms provide access to diverse resources,Mobile
2146,Graduate,5,Interactive discussion,Lack of concentration,Low,Blended learning is more effective than fully online,Laptop
2147,Postgraduate,5,Recorded tutorials,Internet connectivity issues,High,Blended learning is more effective than fully online,Mobile
2148,Graduate,5,Video lectures,Academic workload pressure,High,Online learning is flexible and convenient,Mobile
2149,Graduate,2,Practice exercises,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Tablet
2150,Undergraduate,6,Interactive discussion,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Laptop
2151,Graduate,6,Practice exercises,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Mobile
2152,Undergraduate,2,Practice exercises,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Mobile
2153,Graduate,6,Recorded tutorials,Low motivation,Medium,Online platforms provide access to diverse resources,Mobile
2154,Postgraduate,1,Reading notes,Internet connectivity issues,Medium,Online learning is flexible and convenient,Mobile
2155,Undergraduate,3,Recorded tutorials,Low motivation,Medium,Online learning is flexible and convenient,Tablet
2156,Undergraduate,3,Reading notes,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Mobile
2157,Graduate,1,Video lectures,Time management difficulty,Low,Online learning is effective for theory-based subjects,Mobile
2158,Undergraduate,5,Reading notes,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Laptop
2159,Postgraduate,6,Interactive discussion,Low motivation,Low,Blended learning is more effective than fully online,Laptop
2160,Undergraduate,5,Reading notes,Lack of concentration,Low,Online learning is effective for theory-based subjects,Laptop
2161,Undergraduate,4,Recorded tutorials,Time management difficulty,Medium,Blended learning is more effective than fully online,Mobile
2162,Postgraduate,5,Video lectures,Time management difficulty,Low,Online learning is effective for theory-based subjects,Mobile
2163,Undergraduate,1,Video lectures,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Mobile
2164,Postgraduate,1,Interactive discussion,Low motivation,Medium,Online platforms provide access to diverse resources,Tablet
2165,Graduate,2,Video lectures,Lack of concentration,High,Online learning requires strong self-discipline,Tablet
2166,Undergraduate,6,Practice exercises,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Tablet
2167,Postgraduate,4,Practice exercises,Lack of concentration,Low,Online learning requires strong self-discipline,Tablet
2168,Undergraduate,3,Interactive discussion,Time management difficulty,Medium,Blended learning is more effective than fully online,Mobile
2169,Undergraduate,6,Interactive discussion,Low motivation,Medium,Blended learning is more effective than fully online,Tablet
2170,Postgraduate,1,Video lectures,Low motivation,Low,Blended learning is more effective than fully online,Tablet
2171,Postgraduate,4,Interactive discussion,Time management difficulty,High,Online platforms provide access to diverse resources,Tablet
2172,Postgraduate,4,Video lectures,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Mobile
2173,Undergraduate,6,Recorded tutorials,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Laptop
2174,Undergraduate,3,Recorded tutorials,Internet connectivity issues,Low,Online learning is flexible and convenient,Mobile
2175,Undergraduate,5,Reading notes,Low motivation,Low,Online learning is flexible and convenient,Laptop
2176,Undergraduate,2,Interactive discussion,Time management difficulty,Low,Online learning is effective for theory-based subjects,Tablet
2177,Graduate,3,Practice exercises,Lack of concentration,High,Online platforms provide access to diverse resources,Tablet
2178,Graduate,3,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Mobile
2179,Graduate,6,Interactive discussion,Internet connectivity issues,High,Online platforms provide access to diverse resources,Laptop
2180,Undergraduate,5,Recorded tutorials,Low motivation,Medium,Blended learning is more effective than fully online,Laptop
2181,Postgraduate,4,Practice exercises,Academic workload pressure,Medium,Online learning requires strong self-discipline,Mobile
2182,Undergraduate,5,Recorded tutorials,Internet connectivity issues,High,Online learning is flexible and convenient,Tablet
2183,Graduate,4,Practice exercises,Low motivation,Low,Blended learning is more effective than fully online,Laptop
2184,Graduate,1,Practice exercises,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Mobile
2185,Postgraduate,4,Video lectures,Lack of concentration,High,Blended learning is more effective than fully online,Mobile
2186,Postgraduate,3,Video lectures,Low motivation,High,Online platforms provide access to diverse resources,Laptop
2187,Postgraduate,3,Practice exercises,Lack of concentration,Medium,Online learning is flexible and convenient,Laptop
2188,Graduate,6,Reading notes,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Tablet
2189,Undergraduate,6,Practice exercises,Academic workload pressure,Low,Online platforms provide access to diverse resources,Tablet
2190,Graduate,3,Video lectures,Internet connectivity issues,Low,Online learning is flexible and convenient,Mobile
2191,Postgraduate,6,Reading notes,Lack of concentration,Medium,Blended learning is more effective than fully online,Tablet
2192,Undergraduate,3,Practice exercises,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Mobile
2193,Undergraduate,3,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Mobile
2194,Graduate,1,Practice exercises,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Tablet
2195,Graduate,5,Interactive discussion,Academic workload pressure,Medium,Online learning requires strong self-discipline,Tablet
2196,Undergraduate,2,Recorded tutorials,Low motivation,Low,Online platforms provide access to diverse resources,Laptop
2197,Undergraduate,3,Practice exercises,Low motivation,High,Online learning requires strong self-discipline,Tablet
2198,Postgraduate,5,Video lectures,Academic workload pressure,Low,Blended learning is more effective than fully online,Tablet
2199,Postgraduate,6,Reading notes,Academic workload pressure,Low,Online learning is flexible and convenient,Laptop
2200,Undergraduate,5,Video lectures,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Mobile
2201,Postgraduate,6,Practice exercises,Lack of concentration,Medium,Blended learning is more effective than fully online,Laptop
2202,Undergraduate,4,Recorded tutorials,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Tablet
2203,Postgraduate,4,Practice exercises,Low motivation,Low,Online learning is flexible and convenient,Laptop
2204,Postgraduate,1,Practice exercises,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Tablet
2205,Undergraduate,4,Practice exercises,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Mobile
2206,Undergraduate,1,Interactive discussion,Academic workload pressure,Medium,Online learning is flexible and convenient,Mobile
2207,Postgraduate,6,Practice exercises,Academic workload pressure,Medium,Online learning requires strong self-discipline,Tablet
2208,Postgraduate,2,Reading notes,Time management difficulty,Medium,Blended learning is more effective than fully online,Tablet
2209,Graduate,1,Video lectures,Low motivation,High,Online learning is effective for theory-based subjects,Tablet
2210,Postgraduate,4,Recorded tutorials,Time management difficulty,High,Online platforms provide access to diverse resources,Mobile
2211,Graduate,3,Video lectures,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Laptop
2212,Graduate,1,Video lectures,Lack of concentration,Low,Online learning is flexible and convenient,Tablet
2213,Postgraduate,2,Reading notes,Low motivation,High,Online learning requires strong self-discipline,Tablet
2214,Graduate,6,Recorded tutorials,Lack of concentration,High,Online learning requires strong self-discipline,Mobile
2215,Postgraduate,1,Recorded tutorials,Time management difficulty,Low,Blended learning is more effective than fully online,Tablet
2216,Postgraduate,4,Recorded tutorials,Academic workload pressure,Low,Blended learning is more effective than fully online,Laptop
2217,Postgraduate,5,Recorded tutorials,Lack of concentration,Low,Online learning is effective for theory-based subjects,Tablet
2218,Graduate,3,Reading notes,Difficulty understanding concepts,High,Online learning is flexible and convenient,Laptop
2219,Graduate,2,Recorded tutorials,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Laptop
2220,Undergraduate,4,Recorded tutorials,Time management difficulty,High,Blended learning is more effective than fully online,Tablet
2221,Graduate,1,Video lectures,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Laptop
2222,Postgraduate,5,Reading notes,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Laptop
2223,Graduate,4,Practice exercises,Academic workload pressure,Low,Online learning is flexible and convenient,Laptop
2224,Postgraduate,4,Recorded tutorials,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Laptop
2225,Undergraduate,6,Video lectures,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Mobile
2226,Undergraduate,2,Practice exercises,Time management difficulty,High,Online platforms provide access to diverse resources,Laptop
2227,Undergraduate,3,Interactive discussion,Time management difficulty,Medium,Blended learning is more effective than fully online,Tablet
2228,Undergraduate,2,Recorded tutorials,Low motivation,High,Online learning requires strong self-discipline,Tablet
2229,Graduate,2,Reading notes,Lack of concentration,Medium,Online learning requires strong self-discipline,Laptop
2230,Undergraduate,3,Video lectures,Internet connectivity issues,High,Online platforms provide access to diverse resources,Laptop
2231,Undergraduate,1,Practice exercises,Low motivation,Low,Online learning is flexible and convenient,Mobile
2232,Postgraduate,2,Reading notes,Internet connectivity issues,High,Blended learning is more effective than fully online,Mobile
2233,Postgraduate,5,Reading notes,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop
2234,Graduate,6,Practice exercises,Low motivation,High,Online learning is flexible and convenient,Laptop
2235,Undergraduate,1,Video lectures,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Tablet
2236,Undergraduate,6,Practice exercises,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Mobile
2237,Graduate,3,Interactive discussion,Internet connectivity issues,Low,Blended learning is more effective than fully online,Mobile
2238,Graduate,5,Interactive discussion,Academic workload pressure,Low,Online platforms provide access to diverse resources,Laptop
2239,Graduate,1,Interactive discussion,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Mobile
2240,Graduate,4,Practice exercises,Academic workload pressure,Medium,Blended learning is more effective than fully online,Mobile
2241,Postgraduate,5,Reading notes,Academic workload pressure,High,Blended learning is more effective than fully online,Mobile
2242,Postgraduate,2,Reading notes,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Mobile
2243,Postgraduate,4,Recorded tutorials,Internet connectivity issues,Low,Online learning is flexible and convenient,Mobile
2244,Postgraduate,1,Recorded tutorials,Internet connectivity issues,Low,Online learning requires strong self-discipline,Laptop
2245,Postgraduate,2,Video lectures,Time management difficulty,High,Online learning is effective for theory-based subjects,Mobile
2246,Postgraduate,6,Reading notes,Low motivation,High,Blended learning is more effective than fully online,Mobile
2247,Postgraduate,2,Recorded tutorials,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Laptop
2248,Graduate,2,Video lectures,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Mobile
2249,Graduate,6,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Laptop
2250,Postgraduate,3,Practice exercises,Lack of concentration,High,Online learning is effective for theory-based subjects,Tablet
2251,Undergraduate,5,Reading notes,Academic workload pressure,High,Online learning is effective for theory-based subjects,Mobile
2252,Undergraduate,6,Interactive discussion,Low motivation,High,Online platforms provide access to diverse resources,Laptop
2253,Graduate,5,Interactive discussion,Internet connectivity issues,Low,Blended learning is more effective than fully online,Tablet
2254,Graduate,3,Recorded tutorials,Time management difficulty,High,Online learning requires strong self-discipline,Tablet
2255,Graduate,6,Recorded tutorials,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Tablet
2256,Undergraduate,3,Reading notes,Internet connectivity issues,Low,Blended learning is more effective than fully online,Tablet
2257,Graduate,2,Recorded tutorials,Low motivation,Low,Online learning is effective for theory-based subjects,Tablet
2258,Undergraduate,5,Interactive discussion,Low motivation,Low,Online platforms provide access to diverse resources,Mobile
2259,Postgraduate,5,Practice exercises,Difficulty understanding concepts,High,Online learning is flexible and convenient,Laptop
2260,Undergraduate,1,Reading notes,Time management difficulty,High,Online learning is flexible and convenient,Tablet
2261,Undergraduate,6,Video lectures,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Mobile
2262,Postgraduate,6,Recorded tutorials,Academic workload pressure,High,Online learning is flexible and convenient,Laptop
2263,Undergraduate,5,Interactive discussion,Low motivation,High,Online learning requires strong self-discipline,Laptop
2264,Undergraduate,4,Recorded tutorials,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Tablet
2265,Undergraduate,3,Video lectures,Internet connectivity issues,High,Blended learning is more effective than fully online,Mobile
2266,Undergraduate,2,Video lectures,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Laptop
2267,Graduate,5,Interactive discussion,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Laptop
2268,Graduate,5,Reading notes,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Tablet
2269,Postgraduate,5,Reading notes,Low motivation,High,Online platforms provide access to diverse resources,Laptop
2270,Graduate,1,Recorded tutorials,Internet connectivity issues,Low,Blended learning is more effective than fully online,Mobile
2271,Postgraduate,6,Recorded tutorials,Lack of concentration,High,Online platforms provide access to diverse resources,Mobile
2272,Undergraduate,2,Recorded tutorials,Lack of concentration,Low,Online platforms provide access to diverse resources,Mobile
2273,Undergraduate,3,Video lectures,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Laptop
2274,Undergraduate,4,Video lectures,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
2275,Postgraduate,1,Video lectures,Academic workload pressure,High,Online platforms provide access to diverse resources,Mobile
2276,Undergraduate,2,Interactive discussion,Academic workload pressure,Low,Online platforms provide access to diverse resources,Mobile
2277,Undergraduate,4,Practice exercises,Academic workload pressure,High,Online learning is flexible and convenient,Tablet
2278,Postgraduate,4,Practice exercises,Internet connectivity issues,High,Online learning requires strong self-discipline,Tablet
2279,Graduate,2,Video lectures,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Mobile
2280,Postgraduate,3,Reading notes,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Tablet
2281,Postgraduate,5,Practice exercises,Low motivation,Low,Blended learning is more effective than fully online,Mobile
2282,Postgraduate,5,Practice exercises,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Tablet
2283,Postgraduate,4,Recorded tutorials,Lack of concentration,Low,Online learning is flexible and convenient,Tablet
2284,Undergraduate,6,Video lectures,Academic workload pressure,Low,Online learning is flexible and convenient,Mobile
2285,Undergraduate,2,Reading notes,Academic workload pressure,Low,Online platforms provide access to diverse resources,Laptop
2286,Undergraduate,6,Reading notes,Time management difficulty,Medium,Blended learning is more effective than fully online,Laptop
2287,Undergraduate,1,Video lectures,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Mobile
2288,Graduate,6,Reading notes,Time management difficulty,Medium,Online learning requires strong self-discipline,Tablet
2289,Graduate,5,Reading notes,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Mobile
2290,Graduate,2,Practice exercises,Academic workload pressure,Low,Online learning requires strong self-discipline,Tablet
2291,Undergraduate,4,Video lectures,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Tablet
2292,Undergraduate,5,Recorded tutorials,Time management difficulty,High,Online learning is flexible and convenient,Laptop
2293,Undergraduate,2,Interactive discussion,Academic workload pressure,Medium,Blended learning is more effective than fully online,Mobile
2294,Graduate,4,Video lectures,Lack of concentration,Low,Online platforms provide access to diverse resources,Laptop
2295,Graduate,1,Interactive discussion,Low motivation,High,Online learning requires strong self-discipline,Mobile
2296,Postgraduate,4,Video lectures,Time management difficulty,Low,Online learning is effective for theory-based subjects,Tablet
2297,Graduate,4,Video lectures,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Tablet
2298,Postgraduate,5,Practice exercises,Low motivation,Medium,Online platforms provide access to diverse resources,Mobile
2299,Undergraduate,3,Practice exercises,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Tablet
2300,Postgraduate,5,Practice exercises,Low motivation,High,Online learning is flexible and convenient,Mobile
2301,Postgraduate,6,Reading notes,Time management difficulty,Medium,Online platforms provide access to diverse resources,Mobile
2302,Postgraduate,6,Recorded tutorials,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Tablet
2303,Undergraduate,4,Video lectures,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Tablet
2304,Undergraduate,4,Practice exercises,Academic workload pressure,Low,Online learning is flexible and convenient,Mobile
2305,Graduate,3,Practice exercises,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Mobile
2306,Undergraduate,3,Reading notes,Time management difficulty,High,Blended learning is more effective than fully online,Mobile
2307,Undergraduate,1,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Laptop
2308,Undergraduate,5,Practice exercises,Lack of concentration,High,Online learning is effective for theory-based subjects,Mobile
2309,Postgraduate,2,Recorded tutorials,Lack of concentration,Medium,Online platforms provide access to diverse resources,Laptop
2310,Postgraduate,5,Practice exercises,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Tablet
2311,Postgraduate,1,Practice exercises,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Tablet
2312,Graduate,2,Reading notes,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Laptop
2313,Graduate,5,Interactive discussion,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Laptop
2314,Postgraduate,2,Video lectures,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Mobile
2315,Undergraduate,5,Video lectures,Low motivation,Low,Online learning is effective for theory-based subjects,Mobile
2316,Graduate,5,Reading notes,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Mobile
