respondent_id,education_level,study_hours_per_day,preferred_learning_method,main_learning_challenge,motivation_level,online_learning_opinion,device_used_for_study,compound_score,sentiment_label,top10_words,top10_words_str
2450,Postgraduate,2,Reading notes,Academic workload pressure,High,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2451,Graduate,4,Practice exercises,Time management difficulty,High,Online platforms provide access to diverse resources,Mobile,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2452,Undergraduate,5,Reading notes,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Laptop,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2453,Postgraduate,2,Reading notes,Low motivation,Low,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2454,Postgraduate,1,Practice exercises,Lack of concentration,Medium,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2455,Postgraduate,2,Interactive discussion,Low motivation,Medium,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2456,Undergraduate,6,Video lectures,Time management difficulty,Low,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2457,Postgraduate,1,Reading notes,Academic workload pressure,Low,Blended learning is more effective than fully online,Tablet,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2458,Postgraduate,4,Interactive discussion,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2459,Undergraduate,6,Reading notes,Lack of concentration,High,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2460,Undergraduate,4,Interactive discussion,Internet connectivity issues,High,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2461,Undergraduate,5,Interactive discussion,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2462,Graduate,6,Recorded tutorials,Academic workload pressure,High,Online learning is flexible and convenient,Tablet,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2463,Graduate,5,Recorded tutorials,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Tablet,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2464,Undergraduate,1,Video lectures,Time management difficulty,Low,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2465,Postgraduate,4,Video lectures,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2466,Postgraduate,1,Recorded tutorials,Lack of concentration,High,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2467,Graduate,6,Recorded tutorials,Low motivation,Medium,Online learning is flexible and convenient,Laptop,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2468,Postgraduate,3,Recorded tutorials,Time management difficulty,High,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2469,Graduate,5,Interactive discussion,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Tablet,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2470,Undergraduate,2,Reading notes,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2471,Postgraduate,3,Reading notes,Academic workload pressure,High,Blended learning is more effective than fully online,Tablet,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2472,Postgraduate,6,Interactive discussion,Time management difficulty,Low,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2473,Undergraduate,1,Reading notes,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2474,Graduate,3,Reading notes,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Mobile,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2475,Graduate,2,Reading notes,Time management difficulty,Medium,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2476,Postgraduate,4,Reading notes,Low motivation,Low,Blended learning is more effective than fully online,Laptop,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2477,Postgraduate,4,Reading notes,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2478,Graduate,1,Reading notes,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Laptop,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2479,Undergraduate,2,Interactive discussion,Lack of concentration,Low,Online learning requires strong self-discipline,Mobile,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2480,Postgraduate,1,Recorded tutorials,Time management difficulty,Low,Online learning requires strong self-discipline,Mobile,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2481,Postgraduate,6,Video lectures,Time management difficulty,High,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2482,Postgraduate,6,Practice exercises,Low motivation,Low,Blended learning is more effective than fully online,Mobile,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2483,Undergraduate,2,Reading notes,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2484,Graduate,2,Practice exercises,Low motivation,Medium,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2485,Undergraduate,6,Practice exercises,Lack of concentration,Medium,Blended learning is more effective than fully online,Tablet,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2486,Graduate,3,Practice exercises,Academic workload pressure,High,Online learning is flexible and convenient,Tablet,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2487,Graduate,6,Interactive discussion,Low motivation,High,Online platforms provide access to diverse resources,Mobile,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2488,Postgraduate,2,Interactive discussion,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2489,Undergraduate,1,Practice exercises,Lack of concentration,Low,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2490,Undergraduate,2,Reading notes,Low motivation,Medium,Blended learning is more effective than fully online,Tablet,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2491,Graduate,6,Reading notes,Time management difficulty,Low,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2492,Postgraduate,5,Recorded tutorials,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2493,Undergraduate,4,Video lectures,Low motivation,Low,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2494,Graduate,1,Video lectures,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2495,Undergraduate,5,Recorded tutorials,Low motivation,Low,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2496,Graduate,5,Interactive discussion,Internet connectivity issues,Low,Online learning requires strong self-discipline,Mobile,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2497,Undergraduate,4,Video lectures,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Laptop,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2498,Graduate,2,Interactive discussion,Difficulty understanding concepts,Medium,Online learning requires strong self-discipline,Laptop,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2499,Graduate,3,Interactive discussion,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Laptop,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2500,Undergraduate,1,Practice exercises,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2501,Undergraduate,4,Reading notes,Lack of concentration,Low,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2502,Postgraduate,2,Recorded tutorials,Low motivation,Medium,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2503,Graduate,3,Reading notes,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Laptop,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2504,Postgraduate,5,Interactive discussion,Low motivation,High,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2505,Undergraduate,1,Practice exercises,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2506,Postgraduate,2,Practice exercises,Internet connectivity issues,Low,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2507,Graduate,3,Reading notes,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2508,Graduate,5,Recorded tutorials,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Laptop,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2509,Undergraduate,4,Video lectures,Low motivation,Medium,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2510,Postgraduate,5,Recorded tutorials,Internet connectivity issues,High,Online learning requires strong self-discipline,Mobile,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2511,Postgraduate,4,Practice exercises,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Mobile,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2512,Postgraduate,4,Interactive discussion,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Mobile,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2513,Undergraduate,4,Video lectures,Time management difficulty,Low,Online learning is flexible and convenient,Tablet,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2514,Undergraduate,2,Interactive discussion,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Laptop,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2515,Postgraduate,6,Reading notes,Low motivation,Low,Online learning is effective for theory-based subjects,Laptop,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2516,Graduate,1,Practice exercises,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2517,Undergraduate,4,Practice exercises,Low motivation,Medium,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2518,Postgraduate,3,Recorded tutorials,Academic workload pressure,Medium,Online learning is flexible and convenient,Laptop,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2519,Graduate,5,Reading notes,Low motivation,Medium,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2520,Graduate,3,Video lectures,Low motivation,High,Online learning requires strong self-discipline,Laptop,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2521,Graduate,1,Interactive discussion,Lack of concentration,Medium,Online learning is flexible and convenient,Laptop,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2522,Graduate,6,Video lectures,Internet connectivity issues,Low,Blended learning is more effective than fully online,Tablet,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2523,Postgraduate,6,Video lectures,Time management difficulty,Low,Online learning is effective for theory-based subjects,Laptop,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2524,Graduate,6,Interactive discussion,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2525,Postgraduate,5,Recorded tutorials,Academic workload pressure,Medium,Blended learning is more effective than fully online,Mobile,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2526,Postgraduate,3,Video lectures,Lack of concentration,High,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2527,Undergraduate,3,Practice exercises,Academic workload pressure,Low,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2528,Undergraduate,1,Reading notes,Time management difficulty,Low,Blended learning is more effective than fully online,Tablet,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2529,Postgraduate,4,Practice exercises,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Laptop,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2530,Undergraduate,6,Reading notes,Low motivation,Low,Online learning requires strong self-discipline,Mobile,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2531,Undergraduate,2,Interactive discussion,Internet connectivity issues,Low,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2532,Undergraduate,1,Video lectures,Internet connectivity issues,Low,Blended learning is more effective than fully online,Tablet,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2533,Graduate,3,Video lectures,Academic workload pressure,High,Online learning is flexible and convenient,Tablet,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2534,Graduate,2,Practice exercises,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2535,Graduate,1,Interactive discussion,Time management difficulty,Medium,Online learning requires strong self-discipline,Laptop,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2536,Graduate,4,Reading notes,Time management difficulty,High,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2537,Graduate,2,Interactive discussion,Lack of concentration,Low,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2538,Postgraduate,1,Reading notes,Academic workload pressure,Medium,Blended learning is more effective than fully online,Tablet,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2539,Postgraduate,3,Recorded tutorials,Time management difficulty,High,Online learning is effective for theory-based subjects,Laptop,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2540,Postgraduate,5,Recorded tutorials,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2541,Graduate,5,Video lectures,Academic workload pressure,Low,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2542,Postgraduate,1,Video lectures,Low motivation,Medium,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2543,Postgraduate,2,Practice exercises,Academic workload pressure,High,Blended learning is more effective than fully online,Laptop,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2544,Graduate,3,Interactive discussion,Lack of concentration,Low,Online platforms provide access to diverse resources,Mobile,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2545,Postgraduate,1,Recorded tutorials,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2546,Postgraduate,6,Practice exercises,Lack of concentration,Medium,Online learning is flexible and convenient,Tablet,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2547,Graduate,3,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2548,Undergraduate,4,Recorded tutorials,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Mobile,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2549,Postgraduate,1,Reading notes,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Laptop,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2550,Undergraduate,6,Practice exercises,Internet connectivity issues,High,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2551,Undergraduate,3,Reading notes,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Laptop,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2552,Undergraduate,6,Reading notes,Lack of concentration,Medium,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2553,Graduate,4,Reading notes,Internet connectivity issues,High,Blended learning is more effective than fully online,Mobile,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2554,Postgraduate,6,Video lectures,Low motivation,High,Online learning is flexible and convenient,Laptop,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2555,Graduate,4,Interactive discussion,Academic workload pressure,Low,Blended learning is more effective than fully online,Mobile,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2556,Undergraduate,2,Video lectures,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Laptop,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2557,Postgraduate,5,Reading notes,Low motivation,Medium,Online learning is flexible and convenient,Tablet,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2558,Undergraduate,2,Practice exercises,Low motivation,Low,Online learning is flexible and convenient,Tablet,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2559,Undergraduate,3,Reading notes,Time management difficulty,Low,Blended learning is more effective than fully online,Laptop,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2560,Postgraduate,5,Interactive discussion,Academic workload pressure,Low,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2561,Undergraduate,6,Practice exercises,Time management difficulty,Low,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2562,Postgraduate,2,Interactive discussion,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Laptop,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2563,Undergraduate,2,Video lectures,Academic workload pressure,High,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2564,Postgraduate,3,Video lectures,Low motivation,Low,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2565,Undergraduate,5,Interactive discussion,Low motivation,High,Online learning is effective for theory-based subjects,Mobile,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2566,Graduate,5,Recorded tutorials,Low motivation,High,Online learning is flexible and convenient,Laptop,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2567,Graduate,2,Interactive discussion,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Tablet,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2568,Postgraduate,4,Reading notes,Lack of concentration,High,Online learning requires strong self-discipline,Tablet,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2569,Undergraduate,2,Recorded tutorials,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2570,Postgraduate,2,Practice exercises,Internet connectivity issues,High,Online learning requires strong self-discipline,Mobile,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2571,Undergraduate,3,Interactive discussion,Low motivation,High,Online learning is effective for theory-based subjects,Tablet,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2572,Postgraduate,5,Practice exercises,Lack of concentration,Low,Online learning requires strong self-discipline,Mobile,0.5106,positive,"['online', 'learning', 'requires', 'strong', 'self', 'discipline']","online, learning, requires, strong, self, discipline"
2573,Postgraduate,4,Video lectures,Low motivation,High,Blended learning is more effective than fully online,Mobile,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2574,Graduate,6,Reading notes,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Mobile,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2575,Graduate,4,Interactive discussion,Low motivation,High,Online platforms provide access to diverse resources,Laptop,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2576,Undergraduate,1,Practice exercises,Lack of concentration,High,Blended learning is more effective than fully online,Mobile,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2577,Postgraduate,1,Recorded tutorials,Time management difficulty,Low,Blended learning is more effective than fully online,Laptop,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2578,Graduate,5,Interactive discussion,Academic workload pressure,Medium,Blended learning is more effective than fully online,Mobile,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2579,Graduate,3,Practice exercises,Low motivation,Low,Online platforms provide access to diverse resources,Mobile,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2580,Graduate,4,Interactive discussion,Academic workload pressure,Low,Blended learning is more effective than fully online,Tablet,0.5256,positive,"['blended', 'learning', 'effective', 'fully', 'online']","blended, learning, effective, fully, online"
2581,Undergraduate,2,Recorded tutorials,Academic workload pressure,Low,Online learning is flexible and convenient,Mobile,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
2582,Graduate,3,Video lectures,Academic workload pressure,High,Online learning is effective for theory-based subjects,Laptop,0.4767,positive,"['online', 'learning', 'effective', 'theory', 'based', 'subjects']","online, learning, effective, theory, based, subjects"
2583,Undergraduate,2,Video lectures,Time management difficulty,Medium,Online platforms provide access to diverse resources,Mobile,0.0,neutral,"['online', 'platforms', 'provide', 'access', 'diverse', 'resources']","online, platforms, provide, access, diverse, resources"
2584,Graduate,5,Reading notes,Low motivation,Low,Online learning is flexible and convenient,Tablet,0.2263,positive,"['online', 'learning', 'flexible', 'convenient']","online, learning, flexible, convenient"
